Latitude,Longitude,Weather,Light_Condition,Road_Surface,Road_Function,Speed_Limit(MPH),Day,Month,Hour,Number_of_Vehicles,Intersection,Fatalities
39.51494722,-122.2139,Rain,Dark - Not Lighted,Wet,Interstate,70.0,10,March,7:00pm-7:59pm,1,Not an Intersection,1
36.77198333,-119.7363861,Clear,Dark - Lighted,Dry,Minor Arterial,40.0,4,April,0:00am-0:59am,1,Not an Intersection,1
34.08669167,-117.4887667,Clear,Dark - Not Lighted,Dry,Other Principal Arterial,50.0,26,January,4:00am-4:59am,1,Not an Intersection,1
33.90156389,-117.5606,Clear,Dark - Lighted,Dry,Interstate,65.0,27,January,2:00am-2:59am,1,Not an Intersection,1
34.44413889,-116.9191028,Cloudy,Daylight,Dry,Minor Arterial,55.0,1,February,4:00pm-4:59pm,2,Not an Intersection,1
36.8383,-121.6718194,Cloudy,Daylight,Wet,Local,55.0,2,February,4:00pm-4:59pm,2,Not an Intersection,1
39.19579444,-120.0993806,Snow,Daylight,Snow,Minor Arterial,45.0,26,February,2:00pm-2:59pm,1,Not an Intersection,1
36.92452222,-120.6544889,Clear,Dark - Not Lighted,Dry,Major Collector,55.0,4,March,10:00pm-10:59pm,1,Not an Intersection,1
36.21101667,-119.5649694,Clear,Dark - Not Lighted,Dry,Local,55.0,7,March,6:00am-6:59am,2,Four-Way Intersection,1
37.90649722,-121.3330194,Clear,Daylight,Dry,Major Collector,55.0,7,March,2:00pm-2:59pm,2,Not an Intersection,2
35.98938889,-119.4763528,Rain,Dark - Not Lighted,Wet,Minor Arterial,55.0,12,March,6:00am-6:59am,2,Not an Intersection,1
33.16810833,-117.206025,Clear,Dark - Lighted,Dry,Minor Arterial,45.0,13,March,1:00am-1:59am,1,T-Intersection,1
